actor,movie,role
Keanu Reeves,The Matrix,Neo
Laurence Fishburne,The Matrix,Morpheus
Carrie-Anne Moss,The Matrix,Trinity
Marlon Brando,The Godfather,Don Vito Corleone
Al Pacino,The Godfather,Michael Corleone
John Travolta,Pulp Fiction,Vincent Vega
Samuel L. Jackson,Pulp Fiction,Jules Winnfield
Uma Thurman,Pulp Fiction,Mia Wallace
Christian Bale,The Dark Knight,Bruce Wayne / Batman
Heath Ledger,The Dark Knight,Joker
Tom Hanks,Forrest Gump,Forrest Gump
Leonardo DiCaprio,Inception,Dom Cobb
Marion Cotillard,Inception,Mal
Tom Hanks,Cloud Atlas,Zachry
Tim Robbins,The Shawshank Redemption,Andy Dufresne
Morgan Freeman,The Shawshank Redemption,Ellis Boyd 'Red' Redding
Robert De Niro,Goodfellas,Jimmy Conway
Ray Liotta,Goodfellas,Henry Hill
Edward Norton,Fight Club,The Narrator
Brad Pitt,Fight Club,Tyler Durden